,lon,lat,vote
1,-80.162475,25.692104,blue
2,-80.21436,25.944083,blue
3,-80.094133,26.234314,blue
4,-80.248086,26.291902,blue
5,-81.789963,26.348035,blue
6,-80.065637,26.45457,blue
7,-81.859447,26.707947,blue
8,-81.782346,27.746356,blue
9,-82.720791,27.75487,blue
10,-97.427132,27.776234,red
11,-97.385659,27.82621,red
12,-82.762806,27.880334,blue
13,-81.757407,28.552541,blue
14,-81.789983,28.709818,blue
15,-99.094361,28.892317,red
16,-81.640596,29.559354,blue
17,-90.726801,29.629887,red
18,-99.772337,29.658295,red
19,-95.05721,29.660098,red
20,-95.362546,29.724687,red
21,-97.497602,30.096636,red
22,-97.762127,30.130235,red
23,-96.402769,30.17736,red
24,-90.704255,30.271587,red
25,-97.739032,30.322312,red
26,-88.180748,30.544374,red
27,-99.093732,30.775419,red
28,-84.196246,30.892462,red
29,-89.856714,30.922406,red
30,-83.521934,31.007424,red
31,-97.912132,31.125799,red
32,-88.71983,31.179325,red
33,-92.744478,31.226442,red
34,-92.399276,31.34991,red
35,-100.322132,31.369445,red
36,-82.249594,31.40278,red
37,-83.498867,31.451722,red
38,-103.397086,31.463908,red
39,-95.444713,31.49721,red
40,-94.430244,31.511935,red
41,-83.256542,31.592944,red
42,-96.27778,31.632772,red
43,-96.495186,31.678386,red
44,-82.720146,31.745842,red
45,-91.542547,31.78857,red
46,-103.199724,32.112816,blue
47,-85.678746,32.166252,red
48,-110.969445,32.213873,red
49,-110.984536,32.269088,red
50,-109.863111,32.372977,red
51,-84.948127,32.424513,red
52,-83.762244,32.647384,red
53,-89.115371,32.757224,red
54,-97.474063,32.759271,red
55,-86.543753,32.759565,red
56,-117.133525,32.778327,blue
57,-96.80439,32.790439,red
58,-90.085477,32.817424,red
59,-96.707982,32.876976,red
60,-96.745249,32.965986,red
61,-83.431219,33.051888,red
62,-82.985948,33.265516,red
63,-116.581954,33.531667,blue
64,-111.956546,33.549439,red
65,-101.382738,33.678977,red
66,-81.853392,33.693757,red
67,-117.952318,33.710762,blue
68,-112.548331,33.772993,red
69,-84.66081,33.772999,red
70,-82.909975,33.783593,red
71,-94.395174,33.858321,red
72,-118.139465,33.921789,blue
73,-95.513876,34.011339,red
74,-118.250937,34.044272,blue
75,-79.791822,34.094571,red
76,-118.026374,34.132389,blue
77,-118.460325,34.151407,blue
78,-81.418375,34.167569,red
79,-98.651365,34.426193,red
80,-117.424189,34.584128,blue
81,-78.007351,34.620725,red
82,-89.986882,34.692362,red
83,-98.959136,34.703158,red
84,-84.443136,34.773711,red
85,-84.717382,34.847405,red
86,-81.758703,34.901708,red
87,-81.372907,34.908396,red
88,-85.379384,34.933512,red
89,-115.577574,34.9678,blue
90,-80.53723,35.017775,red
91,-92.787976,35.042732,red
92,-89.98254,35.098094,red
93,-77.050164,35.254693,red
94,-98.951056,35.278803,red
95,-82.499995,35.319213,red
96,-82.496559,35.44989,red
97,-97.397661,35.461978,red
98,-84.57215,35.581924,red
99,-103.131738,35.617963,blue
100,-99.242749,35.633638,red
101,-81.704216,35.73458,red
102,-105.314716,35.822648,blue
103,-97.24623,35.8451,red
104,-83.015008,35.882967,red
105,-81.750968,36.094594,red
106,-86.868954,36.111432,red
107,-77.712907,36.197331,red
108,-90.270201,36.267177,red
109,-76.303284,36.453576,red
110,-85.216385,36.464201,red
111,-80.611871,36.500739,red
112,-104.56395,36.543393,blue
113,-82.182297,36.618093,blue
114,-84.718717,36.722168,red
115,-76.305188,36.813883,blue
116,-121.988055,36.972101,blue
117,-83.413499,37.003666,red
118,-82.281519,37.005419,blue
119,-90.194077,37.131092,red
120,-90.958851,37.239797,red
121,-81.69552,37.295548,red
122,-79.717462,37.40696,blue
123,-82.852313,37.421491,red
124,-82.801037,37.436709,red
125,-120.700152,37.452455,blue
126,-76.370661,37.477066,blue
127,-82.700249,37.531593,red
128,-78.850838,37.547252,blue
129,-84.274919,37.579942,red
130,-82.548228,37.593432,red
131,-82.788135,37.649462,red
132,-95.624213,37.651401,red
133,-97.280219,37.669007,red
134,-88.249071,37.695206,blue
135,-122.158705,37.720467,blue
136,-82.767736,37.721847,red
137,-79.083346,37.749797,blue
138,-79.061079,37.839931,blue
139,-98.159045,37.859795,red
140,-122.494555,37.860147,blue
141,-81.872699,37.866513,red
142,-77.630829,37.903767,blue
143,-75.371369,37.927682,blue
144,-120.237496,37.971339,blue
145,-88.922659,37.99998,blue
146,-82.155358,38.008878,red
147,-89.917028,38.09258,blue
148,-121.218576,38.200413,blue
149,-83.893199,38.214742,red
150,-110.813744,38.252051,red
151,-76.086303,38.289898,blue
152,-88.207466,38.364514,blue
153,-82.552883,38.433856,blue
154,-82.450448,38.455089,blue
155,-98.980714,38.475758,red
156,-96.260753,38.509803,red
157,-99.198634,38.519332,red
158,-76.781677,38.520712,blue
159,-93.227232,38.520726,red
160,-120.542508,38.628665,blue
161,-89.205436,38.643533,blue
162,-86.235846,38.669037,red
163,-88.351641,38.669501,blue
164,-87.854926,38.694506,blue
165,-76.187788,38.72883,blue
166,-90.322846,38.738482,red
167,-89.094188,38.754852,blue
168,-87.431299,38.756279,red
169,-84.849584,38.780704,red
170,-89.821376,38.785458,blue
171,-94.634047,38.901798,red
172,-90.331913,38.961297,blue
173,-81.204048,39.021423,red
174,-84.569611,39.032378,red
175,-91.564519,39.076482,red
176,-80.883656,39.086382,red
177,-74.826846,39.101434,blue
178,-94.590092,39.102459,red
179,-76.959802,39.121343,blue
180,-74.701432,39.144929,blue
181,-89.488146,39.149412,blue
182,-77.721305,39.150484,blue
183,-78.094105,39.197285,blue
184,-98.982863,39.201341,red
185,-77.316731,39.210042,blue
186,-92.516309,39.305521,red
187,-91.349301,39.325702,red
188,-76.413189,39.392315,blue
189,-78.695019,39.462996,red
190,-79.240165,39.476361,blue
191,-76.564623,39.506978,blue
192,-104.955673,39.581418,blue
193,-77.737215,39.632022,blue
194,-80.569478,39.659205,red
195,-89.377884,39.661223,blue
196,-120.229662,39.662974,blue
197,-104.884326,39.679324,blue
198,-80.305106,39.702072,red
199,-76.344101,39.751754,blue
200,-94.130005,39.757039,red
201,-90.883216,39.761201,blue
202,-77.567363,39.763504,blue
203,-98.215227,39.783259,red
204,-99.125543,39.803701,red
205,-105.065549,39.828572,blue
206,-89.388846,39.847201,blue
207,-90.674147,39.888286,blue
208,-91.08688,39.889176,blue
209,-74.190529,39.914708,blue
210,-87.931235,39.918818,blue
211,-75.333786,39.929599,blue
212,-91.670415,39.962486,red
213,-84.722211,39.968711,blue
214,-85.087803,39.971215,red
215,-76.166132,40.020754,blue
216,-75.156898,40.05683,blue
217,-76.319888,40.075381,blue
218,-82.519399,40.078791,blue
219,-98.946862,40.105172,red
220,-74.59093,40.158922,blue
221,-105.10095,40.177921,blue
222,-75.147932,40.182057,blue
223,-94.805558,40.186176,red
224,-89.114299,40.243673,blue
225,-79.717164,40.245485,blue
226,-74.276822,40.245776,blue
227,-77.579701,40.305749,blue
228,-101.129464,40.338668,red
229,-78.869432,40.359385,blue
230,-88.137965,40.374736,blue
231,-82.333351,40.415818,blue
232,-79.253329,40.441262,blue
233,-78.005028,40.502274,blue
234,-79.784447,40.543999,blue
235,-75.987361,40.548799,blue
236,-100.310773,40.57856,red
237,-78.337234,40.60394,blue
238,-89.460445,40.614771,blue
239,-74.012067,40.617441,blue
240,-74.510456,40.631787,blue
241,-73.638,40.663745,blue
242,-99.254082,40.709726,red
243,-74.001298,40.710092,blue
244,-74.213073,40.71071,blue
245,-74.032863,40.7445,blue
246,-73.035213,40.750089,blue
247,-78.535238,40.750323,blue
248,-99.751515,40.785002,red
249,-124.027305,40.822381,blue
250,-85.606726,40.861792,red
251,-75.111545,40.900839,blue
252,-74.36456,40.904914,blue
253,-74.091296,40.904928,blue
254,-73.837961,40.907863,blue
255,-74.299512,40.920769,blue
256,-73.593498,41.052952,blue
257,-72.336616,41.064046,blue
258,-116.931141,41.171527,blue
259,-98.648144,41.220378,red
260,-82.490402,41.245023,blue
261,-76.71411,41.255952,blue
262,-82.378168,41.263748,blue
263,-72.456313,41.292662,blue
264,-73.82732,41.328608,blue
265,-80.54406,41.334688,blue
266,-96.090109,41.335904,red
267,-95.827648,41.364378,blue
268,-81.811811,41.397944,blue
269,-81.553945,41.501213,blue
270,-79.366332,41.511616,blue
271,-76.402145,41.523213,blue
272,-96.490423,41.523293,red
273,-72.699674,41.534094,blue
274,-72.08494,41.537055,blue
275,-88.128107,41.541468,blue
276,-77.291975,41.54752,blue
277,-70.621663,41.564754,blue
278,-87.462734,41.634893,red
279,-83.716967,41.666765,blue
280,-88.345305,41.684893,blue
281,-83.830972,41.698892,blue
282,-86.242893,41.70057,red
283,-70.967709,41.763455,blue
284,-87.706936,41.778149,blue
285,-89.968995,41.816664,blue
286,-95.340293,41.827063,blue
287,-75.717113,41.866409,blue
288,-77.530975,41.919063,blue
289,-75.125189,41.984366,blue
290,-100.807315,41.99012,red
291,-74.728835,42.015762,blue
292,-87.686544,42.03022,blue
293,-80.093544,42.097577,blue
294,-84.584809,42.102521,blue
295,-80.097607,42.113332,blue
296,-80.08601,42.125962,blue
297,-87.964364,42.159843,blue
298,-71.703691,42.229726,blue
299,-72.581137,42.237537,blue
300,-94.298669,42.276712,blue
301,-73.64864,42.303637,blue
302,-76.192008,42.307435,blue
303,-86.131096,42.33122,blue
304,-71.076798,42.349201,blue
305,-79.458894,42.385792,blue
306,-71.005165,42.413767,blue
307,-93.56774,42.461376,blue
308,-96.376064,42.490266,blue
309,-76.363622,42.499768,blue
310,-82.93868,42.503423,blue
311,-73.248737,42.541961,blue
312,-97.654494,42.597824,red
313,-112.017644,42.618474,red
314,-83.304149,42.629449,blue
315,-71.298331,42.634413,blue
316,-83.539838,42.658004,blue
317,-92.341701,42.673137,blue
318,-71.109004,42.682583,blue
319,-110.941976,42.712829,red
320,-85.762798,42.723113,blue
321,-94.98238,42.778403,blue
322,-89.643666,42.814344,blue
323,-102.995331,42.819268,red
324,-83.138089,42.836423,blue
325,-93.215583,42.877881,blue
326,-71.676243,42.897597,blue
327,-76.875498,42.904515,blue
328,-124.118924,42.985048,red
329,-70.782216,43.130943,blue
330,-75.572399,43.147311,blue
331,-77.588976,43.150086,blue
332,-78.574536,43.210587,blue
333,-71.835349,43.303512,blue
334,-121.886596,43.30759,red
335,-98.341372,43.316045,red
336,-92.734376,43.391861,blue
337,-95.7424,43.406929,blue
338,-94.150281,43.434569,blue
339,-110.766277,43.460734,red
340,-88.272855,43.604183,blue
341,-71.643513,43.618393,blue
342,-92.862082,43.627423,blue
343,-70.270878,43.631847,blue
344,-72.936001,43.703382,blue
345,-69.995175,43.734147,blue
346,-97.379695,43.735583,red
347,-71.240716,43.890851,blue
348,-73.100793,43.90172,blue
349,-95.929616,43.916308,blue
350,-69.964479,43.941286,blue
351,-95.047234,43.978502,blue
352,-72.720151,44.084571,blue
353,-72.019112,44.097841,blue
354,-73.071742,44.146031,blue
355,-69.090114,44.188787,blue
356,-93.575063,44.223796,blue
357,-96.032692,44.240346,blue
358,-68.731279,44.375635,blue
359,-69.863681,44.511103,blue
360,-120.145579,44.565734,red
361,-69.102532,44.699078,blue
362,-106.964795,44.78486,red
363,-116.900621,44.930529,red
364,-93.268251,44.983473,blue
365,-93.581798,44.991228,blue
366,-96.562366,45.022142,red
367,-97.445751,45.081542,red
368,-68.977098,45.250697,blue
369,-92.697108,45.321757,blue
370,-68.507693,45.350832,blue
371,-87.970363,45.607398,blue
372,-93.243302,45.667513,blue
373,-93.203695,45.717547,blue
374,-122.484342,45.730432,blue
375,-88.030927,45.765343,blue
376,-93.196226,45.772926,blue
377,-99.772543,46.005476,red
378,-95.695067,46.01525,blue
379,-95.360764,46.176925,blue
380,-84.217332,46.284753,blue
381,-92.830931,46.294883,blue
382,-85.730715,46.297027,blue
383,-85.514951,46.343763,blue
384,-84.563841,46.411117,blue
385,-117.169243,46.590098,blue
386,-88.420959,46.770407,blue
387,-90.603622,46.846675,blue
388,-92.007433,46.855131,blue
389,-96.505225,47.070528,blue
390,-117.41468,47.221777,blue
391,-103.294433,47.443072,red
392,-101.189807,47.460163,red
393,-101.115061,47.640333,red
394,-119.036728,47.926446,blue
395,-102.142732,47.95597,red
396,-97.460476,48.225094,red
397,-96.551116,48.591592,blue
398,-166.519855,53.887114,red
399,-163.733617,67.665859,red
400,-145.423115,68.077395,red
