audio_file,label,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
pop.00080.au,pop,0.43360677,3151.4368984151406,3220.477370812374,7293.264231962316,0.1275974899622678,-44.97147,69.75643,11.856245,8.148978,12.641399,7.803382,11.301864,0.18761078,9.639653,2.8408072,3.8566456,-0.84013134,2.1360815,1.0915788,-0.06521918,0.6611277,-1.4682055,3.723377,4.538074,4.257899
pop.00022.au,pop,0.38687745,3206.2744104845597,3126.2324331838163,7019.599220110536,0.14153920460042568,-45.698906,65.278145,12.932302,14.519841,7.043838,4.4012165,6.6375184,3.3049111,7.7334647,4.0718484,3.6720655,2.6092966,4.047151,2.3857458,1.7777281,-2.3997178,-1.3468528,-2.8718367,-0.843267,-2.5898762
pop.00073.au,pop,0.4234593,3671.1643126611093,3295.5633003700837,7879.035689882449,0.16189735814144737,-8.508437,54.25087,20.967983,13.106076,9.725391,6.0116615,10.71841,6.1038284,0.69793665,5.003484,-3.4517636,0.87104374,-1.940017,-2.7848995,-2.675063,-3.317282,1.7058859,-0.14954416,4.8464456,2.909008
pop.00047.au,pop,0.43348715,3150.247439048178,3220.167077549846,7292.222571594427,0.12735523897058823,-45.055027,69.76529,11.874171,8.199661,12.614831,7.7520666,11.302967,0.24654566,9.659887,2.8110976,3.8576674,-0.8375095,2.1215875,1.1269692,0.007489845,0.7628664,-1.476882,3.6543686,4.4537435,4.2020016
pop.00016.au,pop,0.38864258,3490.338581433319,3205.7953777954563,7499.3796522772345,0.15341592794601394,-96.9816,51.786915,18.7392,20.483517,5.611381,3.5744596,5.573046,0.73476917,7.335276,1.6558993,-2.7007837,-0.44276,-1.0811645,-3.4539032,-2.4811816,-3.3071954,-2.2314558,-2.641644,-2.7418509,0.3068486
pop.00006.au,pop,0.3746288,2125.267705090991,2673.801945534496,4978.811560474313,0.06769535785119969,-169.12222,94.648315,24.508247,27.420902,11.644342,14.908937,4.239871,12.359824,10.6968775,5.129888,-0.33267492,1.2545328,-4.152501,-3.1281815,0.29503217,-3.5515933,-2.806368,-5.7568398,-5.2146177,-0.09605318
pop.00057.au,pop,0.51846,3672.6557860297753,3279.7557985196195,7783.661266598539,0.15406445010158668,-39.673798,33.94424,9.614387,16.67116,14.90748,11.18519,21.485119,9.877827,14.7355995,15.637439,2.0505397,2.5891309,0.35604116,1.6400282,6.935367,8.246662,9.377369,6.966771,1.491703,-1.1309434
pop.00063.au,pop,0.31673357,1826.5118014889715,2294.4388291805726,3796.2937109979684,0.07464656298374613,-125.95096,117.33511,-0.07329699,10.20683,4.48665,2.1894956,-3.6322803,3.3783798,1.7398546,4.553605,0.845572,2.424624,-3.1133008,-2.8354287,-6.104109,-5.2641497,-1.8126585,-3.2171896,1.2655442,5.8006134
pop.00032.au,pop,0.42665535,4225.662022831988,3404.2601719549957,8483.157036843315,0.22873671209849072,-113.141205,41.587727,21.518194,11.0924225,17.441128,0.60763,3.0287497,0.08407137,3.4569092,0.29126188,0.6163756,1.2566518,2.8961053,-0.7679887,0.22232682,-1.4071122,-0.76079535,-0.8707085,-1.5395651,1.0682726
pop.00090.au,pop,0.3532234,3603.2638619586164,3333.9377994760584,7958.818540779799,0.14755995428599072,-44.719357,55.052498,27.147902,19.519934,14.697986,3.190842,5.5028534,1.4250773,4.499593,1.3739477,-1.6584616,-3.523244,-7.9135756,-3.5354185,-8.203889,-3.3953846,-2.661632,4.2923274,1.357149,-0.1729587
pop.00012.au,pop,0.3856891,2679.3029378260453,2661.809853535219,5533.833204334365,0.12593423471362228,-50.83482,80.220245,-9.297169,20.29716,12.111899,6.7907996,6.284705,3.4349325,-3.9573305,2.5739713,-5.708436,0.48131406,-0.5771534,-0.58728,-3.396011,-6.7944875,-5.526935,-1.6323168,-1.6055998,-1.4991671
pop.00043.au,pop,0.47344005,2703.2648138710597,2725.9496128049254,5776.090072773559,0.1032971833881579,-50.86477,68.03775,12.080742,36.316486,8.649355,19.504486,10.722992,12.313318,1.6606,10.162694,4.837101,1.6965452,2.7337222,3.1684687,2.4629407,1.4161273,1.0575207,1.8975487,2.2686198,2.4274287
pop.00084.au,pop,0.4091245,3262.545498075311,3046.9022878113224,6828.042045097233,0.13586614744582043,-112.386246,59.745834,14.492916,19.199791,15.129221,-3.2117312,6.109441,-6.6701365,1.463652,-1.174001,-1.2088,-0.7407025,1.8808714,-0.7017475,-2.3008714,-3.4920964,-3.89406,-3.3860567,-2.4244967,-2.087777
