rcid,country,vote
2491,USA,1
2491,Canada,1
2491,Bahamas,1
2491,Cuba,3
2491,Jamaica,1
2491,Trinidad and Tobago,2
2491,Mexico,2
2491,Costa Rica,1
2491,Panama,2
2491,Colombia,1
2491,Venezuela,1
2491,Guyana,3
2491,Ecuador,1
2491,Peru,1
2491,Brazil,1
2491,Bolivia,1
2491,Paraguay,1
2491,Chile,1
2491,Argentina,1
2491,Uruguay,1
2491,UK,1
2491,Ireland,1
2491,Netherlands,1
2491,Belgium,1
2491,Luxembourg,1
2491,France,1
2491,Spain,1
2491,Portugal,1
2491,Poland,3
2491,Austria,1
2491,Hungary,3
2491,Italy,1
2491,Malta,1
2491,Greece,1
2491,Bulgaria,3
2491,Russian Federation,3
2491,Ukraine,3
2491,Belarus,3
2491,Finland,2
2491,Sweden,1
2491,Norway,1
2491,Denmark,1
2491,Iceland,1
2491,Mali,1
2491,Burkina Faso,2
2491,Ghana,2
2491,Togo,1
2491,Nigeria,1
2491,Kenya,1
2491,Tanzania,2
2491,Ethiopia,3
2491,Zambia,1
2491,Botswana,1
2491,Algeria,2
2491,Libya,3
2491,Sudan,1
2491,Egypt,1
2491,Syrian Arab Republic,3
2491,Israel,1
2491,Kuwait,1
2491,China,1
2491,Japan,1
2491,India,2
2491,Pakistan,1
2491,Bangladesh,1
2491,Sri Lanka,1
2491,Nepal,1
2491,Thailand,1
2491,Malaysia,1
2491,Singapore,1
2491,Philippines,1
2491,Indonesia,1
2491,Australia,1
2491,New Zealand,1
2492,USA,3
2492,Canada,2
2492,Bahamas,1
2492,Cuba,1
2492,Jamaica,3
2492,Trinidad and Tobago,1
2492,Mexico,1
2492,Costa Rica,1
2492,Panama,1
2492,Colombia,1
2492,Venezuela,1
2492,Guyana,1
2492,Ecuador,1
2492,Peru,1
2492,Brazil,1
2492,Bolivia,1
2492,Paraguay,2
2492,Chile,1
2492,Argentina,1
2492,Uruguay,1
2492,UK,2
2492,Ireland,1
2492,Netherlands,1
2492,Belgium,2
2492,Luxembourg,2
2492,France,1
2492,Spain,1
2492,Portugal,1
2492,Poland,1
2492,Austria,1
2492,Hungary,1
2492,Italy,1
2492,Malta,1
2492,Greece,1
2492,Cyprus,1
2492,Bulgaria,1
2492,Russian Federation,1
2492,Ukraine,1
2492,Belarus,1
2492,Finland,1
2492,Sweden,1
2492,Norway,1
2492,Denmark,1
2492,Iceland,1
2492,Mali,1
2492,Burkina Faso,1
2492,Ghana,1
2492,Togo,2
2492,Nigeria,1
2492,Tanzania,1
2492,Ethiopia,1
2492,Zambia,1
2492,Botswana,1
2492,Algeria,1
2492,Libya,1
2492,Sudan,2
2492,Egypt,1
2492,Syrian Arab Republic,1
2492,Jordan,1
2492,Israel,3
2492,Kuwait,1
2492,China,1
2492,Japan,2
2492,India,1
2492,Pakistan,1
2492,Bangladesh,1
2492,Sri Lanka,1
2492,Nepal,1
